index,id,title,type,description,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,age_certification_encoded,imdb_category_encoded
9,tm67378,The Professionals,0,An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,1966.0,PG-13,117.0,tt0060862,7.299999999999999,16168.0,3,0
11,tm69778,Lupin the Third: The Castle of Cagliostro,0,"After a successful robbery leaves famed thief Lupin the Third and his partner Jigen with nothing but a large amount of expertly crafted counterfeit bills, he decides to track down the forgers responsibleâ€”and steal any other treasures he may find in the Castle of Cagliostro, including the 'damsel in distress' he finds imprisoned there.",1979.0,PG,100.0,tt0079833,7.6,30277.0,2,0
12,tm69997,Richard Pryor: Live in Concert,0,"Richard Pryor delivers monologues on race, sex, family and his favorite targetâ€”himself, live at the Terrace Theatre in Long Beach, California.",1979.0,R,78.0,tt0079807,8.1,5141.0,4,0
13,tm96649,The Long Riders,0,"The origins, exploits and the ultimate fate of the James gang is told in a sympathetic portrayal of the bank robbers made up of brothers who begin their legendary bank raids because of revenge.",1980.0000000000002,R,99.0,tt0081071,6.9,11329.0,4,0
17,tm89386,Hitler: A Career,0,"A keen chronicle of the unlikely rise to power of Adolf Hitler (1889-1945) and a dissection of the Third Reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.",1977.0,PG,150.0,tt0191182,7.5,2416.0,2,0
18,tm156453,FTA,0,"A documentary about a political troupe headed by actors Jane Fonda and Donald Sutherland which traveled to towns near military bases in the US in the early 1970s. The group put on shows called ""F.T.A."", which stood for ""F**k the Army"", and was aimed at convincing soldiers to voice their opposition to the Vietnam War, which was raging at the time. Various singers, actors and other entertainers performed antiwar songs and skits during the show.",1972.0,R,97.0,tt0068562,6.199999999999999,411.0,4,0
28,ts45948,Monty Python's Fliegender Zirkus,1,"Monty Python's Fliegender Zirkus consisted of two 45-minute Monty Python German television comedy specials produced by WDR for West German television. The two episodes were first broadcast in January and December 1972 and were shot entirely on film and mostly on location in Bavaria, with the first episode recorded in German and the second recorded in English and then dubbed into German.",1972.0,TV-MA,43.0,tt0202477,8.1,2144.0,4,0
51,ts22082,Knight Rider,1,"Michael Long, an undercover police officer, is shot while investigating a case and left for dead by his assailants. He is rescued by Wilton Knight, a wealthy, dying millionaire and inventor who arranges life-saving surgery, including a new face and a new identity--that of Michael Knight. Michael is then given a special computerized and indestructible car called the Knight Industries Two Thousand (nicknamed KITT), and a mission: apprehend criminals who are beyond the reach of the law. The series depicts Michael's exploits as he and KITT battle the forces of evil on behalf of the Foundation for Law and Government.",1981.9999999999998,TV-PG,51.0,tt0083437,6.9,33760.0,2,0
53,ts21715,Thomas & Friends,1,"Thomas & Friends is a British children's television series, which had its first broadcast on the ITV network on 4 September 1984. It is based on The Railway Series of books by the Reverend Wilbert Awdry and his son, Christopher Awdry. These books deal with the adventures of a group of anthropomorphised locomotives and road vehicles who live on the fictional Island of Sodor. The books were based on stories Wilbert told to entertain his son, Christopher during his recovery from measles. From Series one to four, many of the stories are based on events from Awdry's personal experience.",1983.9999999999998,TV-Y,10.0,tt0086815,6.5,4948.0,1,0
54,tm41289,Annie,0,"An orphan in a facility run by the mean Miss Hannigan, Annie believes that her parents left her there by mistake. When a rich man named Oliver ""Daddy"" Warbucks decides to let an orphan live at his home to promote his image, Annie is selected. While Annie gets accustomed to living in Warbucks' mansion, she still longs to meet her parents. So Warbucks announces a search for them and a reward, which brings out many frauds.",1981.9999999999998,PG,127.00000000000001,tt0083564,6.6,44866.0,2,0
